label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
openSUSE Summit at OSCAL			20220618	20220619	openSUSE Summit at OSCAL			https://events.opensuse.org/conferences/oSO22		/img/eventbanners/2022/2022-openSUSE-OSCAL.png	Tirana	AL					https://en.opensuse.org/Code_of_Conduct		20220426	https://events.opensuse.org/conferences/oSO22/program/proposals/new	Project Event	OpenSUSE,Tirana,OSCAL	?	https://events.opensuse.org/conferences/oSO22/register/new	?	EN	OpenSUSE	This event is hosted inside OSCAL																					
OSCAL			20220618	20220619	Open Source Conference Albania	OSCAL	#OSCAL	https://oscal.openlabs.cc/		/img/eventbanners/2022/2022-OSCAL.png	Tirana	AL					https://oscal.openlabs.cc/cod/	"<p>OSCAL (Open Source Conference Albania) is the first annual conference in Albania organized to promote software freedom, open source software, free culture and open knowledge, a global movement that originally started more than 30 years ago.</p>
<p>The Conference will take place in June 2022 in Tirana and will gather free libre open source technology users, developers, academics, governmental agencies and people who share the idea that software should be free and open for the local community and governments to develop and customize to its needs; that knowledge is a communal property and free and open to everyone. Our mission is educating Albanian youth, and not only, on Free and Open Source Software, its ideology and the great community behind it.</p>
<p>Just like other successful regional conferences OSCAL provides a fertile ground to build and enhance networking within the tech community, both in the local region and worldwide by being used as a meeting point for a network of individuals and companies with the aim of sponsoring and initiating projects which benefit the people and taxpayers in Albania and which should also result in commercial benefits for the surrounding region.</p>
<p>The conference is supported and organized by Open Labs, the community that promotes free libre open source culture in Albania since 2012. Open Labs is a non-government non-profit organization, based in Albania, that aims to support and promote initiatives which provide tools that bring knowledge closer to those more in need. OSCAL: We are creating an open source ecosystem, and we want you to be part of the change!</p>"	20220619	https://cfp.openlabs.cc/oscal2022/cfp	Community Event	Open labs,	Zero	No	300	EN	Open Labs			openSUSE, stickermule						https://twitter.com/OSCALconf													
Rencontres de la Monnaie Libre			20190523	20190526	Rencontres de la Monnaie Libre	RML13	#RML13	http://rml13.creationmonetaire.info/			Perpignan	FR	Coeur de Ğ1	https://www.openstreetmap.org/?mlat=42.69588&mlon=2.88461#map=19/42.69588/2.88461	42.69588	2.88461		<p>Ces RML13 sont tout particulièrement dédiées au fondement même des Rencontres de la Monnaie Libre, c'est à dire la rencontre des informaticiens développeurs / testeurs, du coeur de fonctionnement de la Ğ1 : Duniter</p><p>Les rencontres des informaticiens sont donc dédiées aux discussions et présentations concernant les protocoles et le coeur de Duniter afin de progresser dans l'organisation et l'avancement du développement du code de Duniter et de ses variantes en cours de développement telles que DURS (Duniter en RUST) ou Juniter (Duniter en Java)</p><p>Y sont tout spécialement conviés les développeurs du coeur en priorité, mais aussi les développeurs des clients, et tout particulièrement Silkaj (client en ligne de commande) qui sera prioritaire (pour rester aussi proche du coeur que possible), Cesium et Sakia, puisqu'ils utilisent ces protocoles et sont donc aussi en mesure d'en détailler les contenus</p>							?																								
Gulaschprogrammiernacht	1673171346	yes	20230608	20230611	Gulaschprogrammiernacht	GPN21	#GPN	https://entropia.de/GPN21	offline		Karlsruhe	DE	HfG (Staatliche Hochschule für Gestaltung Karlsruhe)	https://www.openstreetmap.org/way/23855655	49.00204	8.38361	https://entropia.de/GPN:CARE	"<p>Gulaschprogrammiernacht klingt fast wie ein Kochmarathon für schlaflose Informatikstudenten. Was 2002 in einem Karlsruher Kellerraum mit ein paar Technikbegeisterten angefangen hat, ist inzwischen zu einer der größten Veranstaltungen des Chaos Computer Clubs gewachsen. Die Themen sind breit gefächert: Den Kern bilden Hard- und Softwareentwicklung, sowie Datensicherheit. Daneben kommen aber auch Datenschutz, Netzpolitik und viele andere faszinierende Themen zum Zug: Wie kocht man das perfekte Gulasch? Kann man aus Hardwareschrott noch schönen Schmuck basteln? Wie funktioniert eigentlich eine Nähmaschine? Wie fliegt man Raumschiffe?</p>
<p>Die Gulaschprogrammiernacht wird vom Entropia e. V. des lokalen Chaos Computer Club in Karlsruhe veranstaltet. In den Lichthöfen der Hochschule für Gestaltung (HfG) und den Vortragssälen des Zentrum für Kunst und Medien (ZKM) werden mehr als 1500 Besucher erwartet. Wichtig ist, dass trotz der inhaltlichen Tiefe, in die manche Vortragende eintauchen, die Gulaschprogrammiernacht sich nicht nur an die »Digital Natives« oder Nerds richtet. Alle sind willkommen und können etwas lernen, es gilt das alte Motto »uns gefällt alles«.</p>
<p>Dem Namen getreu ist das Programmieren selbstverständlich die Hauptsache auf einer GPN. In den Lichthöfen stehen dazu im »Hackcenter« Tische mit Strom- und Netzwerkanschluss bereit, an denen die Gäste ihre Zelte aufschlagen können. Ein großer Teil reist mit einem Projekt an, um auf der Gulaschprogrammiernacht ein paar fokussierte Tage und gegebenenfalls auch Nächte damit zu verbringen. Das heißt nicht, dass Fragen verboten sind. Im Gegenteil: Die meisten Hackenden, wenn sie nicht gerade in tiefster Programmiermeditation versunken sind, geben gerne Auskunft über ihr Steckenpferd. Auch gerade Fertiggewordenes wird gerne vorgeführt, und so wimmelt es auf der Gulaschprogrammiernacht von selbstgebauten Lichtinstallationen und Gerätschaften. Vor allem die 3D-Drucker und Textilhacker erfreuten sich in letzter Zeit großer Beliebtheit.</p>
<p>Der zweite Hauptbestandteil einer Gulaschprogrammiernacht, neben den Aktivitäten im Hackcenter, ist das Workshop- und Vortragsprogramm.</p>"			Community Event, Hackmeeting	CCC, Entropia	Zero		1500	DE	Entropia e.V.	Gulasch							UTC+1	https://twitter.com/entropiagpn								#entropia:entropia.de 					
Toulouse Hacker Space Factory			20190530	20190602	Toulouse Hacker Space Factory			https://www.thsf.net/			Toulouse	FR	Mix'Art Myrys	https://www.openstreetmap.org/way/48416748	43.61877	1.42029		<p>ge en 2019 dans une Néo-Tokyo post-apocalyptique et futuriste. Mégapole aliénante, politiciens corrompus, révoltes sociales, expérimentations militaires, pouvoirs psychiques et mutations techno-organiques… Katsuhiro Otomo pose les bases du cyberpunk japonais et questionne avec acuité les modes d’organisation sociale, le rapport de l’homme à la technologie et sa place dans l’environnement.</p><p>La 10ème édition de la Toulouse HackerSpace Factory (THSF) se construit en hommage et écho à cette oeuvre majeure tant sur le plan graphique que scénaristique avec un récit profondément politique et social. Malheureusement la 2019 d’Otomo se rapproche par bien des aspects de notre 2019 actuelle, et les questions qu'il soulevait au début des années 80 restent toujours prégnantes. Notamment les inégalites et l'injustice sociale, le rapport à la science et aux technologies, aux contrôles des personnes et des masses, et à l’environnement. Autant de questions que, depuis 10 ans, la THSF entend partager avec des artistes, des hackers, des chercheurs, des militants associatifs et tous les publics.</p>							?																								
Hackmeeting 0x17			20200709	20200712	Hackmeeting 0x17	Hackmeeting		https://hackmeeting.org/hackit20/			Rome	IT	CSOA Forte prenestino	https://www.openstreetmap.org/node/251876420#map=11/41.8804/12.7285	41.89234	12.56924	https://hackmeeting.org/hackit20/info.en.html	Hackmeeting is the yearly Italian digital counter-cultures meeting			Community Event	Hackmeeting,Italy	no	no	?	IT																							
Wireless Community Weekend			20220527	20220529	Freifunk Wireless Community Weekend 2022			https://wiki.freifunk.net/Wireless_Community_Weekend_2022		/img/eventbanners/2022/2022-freifunk.png	Weimar	DE	M18 - Haus der Studierenden	https://www.openstreetmap.org/#map=19/50.97495/11.32952	50.97517	11.32950		<p>The 17th edition of the Wireless Community Weekend will be the same as what we planned for 2020. WCW goes Bauhaus and will take place in Weimar, Thuringia. From the 27th of May to the 29h of May the Freifunk community will meet with their guests to create an unconference and hackathon.</p><p>The event is hosted and supported by Studierendenkonvent der Bauhaus-Universität, Café S140, Maschinenraum, Weimarnetz e.V. and Förderverein freie Netzwerke e.V..</p><p>Due to the ongoing pandemic, there will probably be some restrictions like daily testing, wearing face masks, and a people limit for indoor events. We may also need to contact you and send you an official invite.</p>						https://wiki.freifunk.net/Wireless_Community_Weekend_2022/Participants	?		Förderverein Freie Netzwerke e.V.																	#freifunk:matrix.org					
deRSE20			20200825	20200827	2nd International Conference for Research Software Engineers in Germany	deRSE20	#deRSE20	https://de-rse.org/deRSE20/			Jena	DE	Friedrich Schiller University	https://www.openstreetmap.org/relation/187012	50.92946	11.58947	https://de-rse.org/deRSE20/delegates/code-of-conduct/	The 1st International Conference for Research Software Engineers in Germany this year in June in Potsdam was a great success. Therefore we are very happy to announce that planning for the 2nd International Conference for Research Software Engineers in Germany has started!			Science Event	research software engineering	?	?	?	?		"<a href=""https://de-rse.org/deRSE20/news/call-for-committee-members/"">Call for Committees</a>"																					
TuxCon			20200530	20200531	TuxCon			http://tuxcon.mobi/	online				On the internet					TuxCon is an annual event about free and open source software and hardware. The entrance is free for all visitors. TuxCon is a community event and it is organized by volunteers. The twitter hashtag of the event is #TuxCon.							?	BG						Youtube																	
Sharing & Reuse Conference			20190611	20190611	Sharing & Reuse Conference			https://joinup.ec.europa.eu/collection/sharing-and-reuse-it-solutions/sharing-reuse-conference-2019			Bucharest	RO													?																								
UK Open Source Awards			20200621	20200621	UK Open Source Awards			https://opensourceawards.org/			Edinburgh	GB	Edinburgh University Computing faculty’s Informatics Forum	https://www.openstreetmap.org/way/23046723	55.94482	-3.18737	nococ	<p>The UK Open Source Awards (UKOSA) returns for it’s 7th year, organised by SalesAgility and will once again be held in the Edinburgh University Computing faculty’s Informatics Forum on Thursday May 21st 2020.</p><p>The awards are designed to recognise and celebrate the innovation, diversity, collaboration and creativity that are core components of Open Source software creation and maintenance. If you know of any deserving projects, people or organisations, please nominate them for the following awards:</p><ol><li>Individual Award – for outstanding contributions to Open Source.</li><li>Company Award – for outstanding contribution to Open Source either through product development or contributions to projects.</li><li>Public Sector and Third Sector Award – for an outstanding Open Source project in the UK public sector or third sector.</li><li>Diversity Award – in recognition of diversity in UK Open Source.</li><li>Student Award – a cash prize of £1,500 for an outstanding contribution to Open Source from currently matriculated UK students.</li></ol>			Business Event	Award,SalesAgility	Zero		180	EN																							
OW2Con			20220608	20220609	OW2Con			https://www.ow2con.org/view/2022/	offline		Paris	FR	Orange Gardens Innovation Center	https://www.openstreetmap.org/way/396084742	48.80104	2.29457	https://www.ow2con.org/view/2022/Code_Of_Conduct?year=2022&event=OW2con22	"<p>The central theme of OW2con this year is: ""Reliable and Predictable Open Source Software"". As open source becomes more mature it expands toward more commercial and more business-like segments. By moving up the layers of corporate information systems - from the operating system up to the business applications - open source software is increasingly used by non-IT specialists. The challenge for skilled community developers and professional development teams is to address the needs of the mainstream market with reliable, predictable and well supported industry-grade open source software. Similarly, users must learn how to manage open source professionally so as to adopt open source in a way that is also reliable and predictable. OW2con'22 will address the many challenges of ensuring reliable and predictable open source software.</p>"	20220227	https://pretalx.com/ow2con-2022/cfp	Business Event		?	?	?	EN				Orange, Huawei	Reliable and Predictable Open Source Software					http://www.twitter.com/ow2					https://www.linkedin.com/company/ow2-consortium/		https://www.youtube.com/user/channelOW2						
